Date,CompanyPostalCode,County,CategoryId,CategoryName,LaborRate,MeanIncome,HousePrice,BCI_County_TimeSeries
12/1/2019,90249,Los Angeles County,94314,insulation,36,82585,82585,6698
12/1/2019,90606,Los Angeles County,93208,flooring,35,87908,87908,6698
12/1/2019,94941,Marin County,93851,hvac,75,246206,246206,7215
12/1/2019,95603,Placer County,94196,deck painting,60,98616,98616,6790
12/1/2019,95258,San Joaquin County,93568,interior painting,35,117035,117035,6670
12/1/2019,94941,Marin County,93746,flooring,75,246206,246206,7215
12/1/2019,90006,Los Angeles County,94136,doors & casings,50,53427,53427,6698
12/1/2019,95337,San Joaquin County,93638,blank template,35,103772,103772,6670
12/1/2019,95240,San Joaquin County,93098,flooring,65,73487,73487,6670
12/1/2019,94941,Marin County,93625,flooring,75,246206,246206,7215
12/1/2019,90220,Los Angeles County,93308,interior & exterior painting,40,71566,71566,6698
12/1/2019,90230,Los Angeles County,93668,electrical work,85,121365,121365,6698
12/1/2019,95337,San Joaquin County,93639,roofing,35,103772,103772,6670
12/1/2019,94121,San Francisco County,94239,interior painting,77,149569,149569,7990
12/1/2019,90230,Los Angeles County,93034,drywall work,85,121365,121365,6698
12/1/2019,90220,Los Angeles County,93296,electrical work,40,71566,71566,6698
12/1/2019,92618,Orange County,93040,flooring,35,145826,145826,6942
12/1/2019,92563,Riverside County,94343,flooring,50,121519,121519,6639
12/1/2019,90220,Los Angeles County,93519,roofing,40,71566,71566,6698
12/1/2019,92563,Riverside County,93195,fireplace,50,121519,121519,6639
12/1/2019,90606,Los Angeles County,93115,electrical work,35,87908,87908,6698
12/1/2019,94553,Contra Costa County,93640,laundry room,50,128626,128626,7027
12/1/2019,94941,Marin County,93950,acoustic panel ceiling tile,75,246206,246206,7215
12/1/2019,94941,Marin County,93699,design & permit service,75,246206,246206,7215
12/1/2019,92618,Orange County,93037,design & permit service,35,145826,145826,6942
12/1/2019,94941,Marin County,93623,doors & casings,75,246206,246206,7215
12/1/2019,92618,Orange County,94045,flooring,35,145826,145826,6942
12/1/2019,92618,Orange County,93044,interior painting,35,145826,145826,6942
12/1/2019,90220,Los Angeles County,93298,roofing,40,71566,71566,6698
12/1/2019,90706,Los Angeles County,93498,fence and gate,38,79884,79884,6698
12/1/2019,94941,Marin County,93745,electrical work,75,246206,246206,7215
12/1/2019,94553,Contra Costa County,108275,foundation & retaining wall,50,128626,128626,7027
12/1/2019,90230,Los Angeles County,93901,interior painting,85,121365,121365,6698
12/1/2019,90606,Los Angeles County,93119,flooring,35,87908,87908,6698
12/1/2019,90220,Los Angeles County,93301,doors & casings,40,71566,71566,6698
12/1/2019,92806,Orange County,94012,doors & casings,50,98413,98413,6942
12/1/2019,92618,Orange County,93945,blank template,35,145826,145826,6942
12/1/2019,92618,Orange County,93041,hvac,35,145826,145826,6942
12/1/2019,90230,Los Angeles County,93588,doors & casings,85,121365,121365,6698
12/1/2019,92563,Riverside County,94345,laundry room,50,121519,121519,6639
12/1/2019,90230,Los Angeles County,93589,interior & exterior painting,85,121365,121365,6698
12/1/2019,94941,Marin County,93846,flooring,67,246206,246206,7215
12/1/2019,90706,Los Angeles County,93023,electrical work,50,79884,79884,6698
12/1/2019,92563,Riverside County,93954,drywall work,50,121519,121519,6639
12/1/2019,92618,Orange County,93168,blank template,35,145826,145826,6942
12/1/2019,94941,Marin County,93778,laundry room,38,246206,246206,7215
12/1/2019,95120,Santa Clara County,93224,window,115,243160,243160,7213
12/1/2019,90230,Los Angeles County,93670,exterior siding,85,121365,121365,6698
12/1/2019,95240,San Joaquin County,93096,drywall work,65,73487,73487,6670
12/1/2019,92806,Orange County,94013,interior and exterior lights,50,98413,98413,6942
12/1/2019,94010,San Mateo County,94064,fence and gate,50,264264,264264,7501
12/1/2019,90606,Los Angeles County,93207,electrical work,35,87908,87908,6698
12/1/2019,95337,San Joaquin County,93437,roofing,35,103772,103772,6670
12/1/2019,94941,Marin County,93777,site preparation & maintenance,40,246206,246206,7215
12/1/2019,91765,Los Angeles County,92955,electrical work,35,124435,124435,6698
12/1/2019,94553,Contra Costa County,94341,interior painting,50,128626,128626,7027
12/1/2019,94941,Marin County,93849,electrical work,68,246206,246206,7215
12/1/2019,94941,Marin County,93848,doors & casings,75,246206,246206,7215
12/1/2019,94505,Contra Costa County,93132,laundry room,120,151675,151675,7027
12/1/2019,94941,Marin County,93845,window,63,246206,246206,7215
12/1/2019,90606,Los Angeles County,93204,acoustic panel ceiling tile,35,87908,87908,6698
12/1/2019,90606,Los Angeles County,93142,plumbing work,35,87908,87908,6698
12/1/2019,92563,Riverside County,93284,interior painting,50,121519,121519,6639
12/1/2019,91765,Los Angeles County,92954,drywall work,35,124435,124435,6698
12/1/2019,94941,Marin County,93850,interior painting,75,246206,246206,7215
12/1/2019,90606,Los Angeles County,93206,interior painting,35,87908,87908,6698
12/1/2019,94941,Marin County,93627,design & permit service,75,246206,246206,7215
12/1/2019,92618,Orange County,93043,doors & casings,35,145826,145826,6942
12/1/2019,95603,Placer County,94195,interior painting,60,98616,98616,6790
12/1/2019,90230,Los Angeles County,93669,plumbing work,85,121365,121365,6698
12/1/2019,94941,Marin County,93744,interior and exterior lights,75,246206,246206,7215
12/1/2019,92806,Orange County,94010,flooring,50,98413,98413,6942
12/1/2019,94941,Marin County,93747,interior & exterior painting,75,246206,246206,7215
12/1/2019,92117,San Diego County,94222,roofing,35,109276,109276,6795
12/1/2019,92563,Riverside County,93955,flooring,50,121519,121519,6639
12/1/2019,90220,Los Angeles County,93304,flooring,40,71566,71566,6698
12/1/2019,90706,Los Angeles County,93025,window,35,79884,79884,6698
12/1/2019,90249,Los Angeles County,94318,mechanical,36,82585,82585,6698
12/1/2019,92618,Orange County,93039,electrical work,35,145826,145826,6942
12/1/2019,94703,Alameda County,93289,foundation settlement repair,90,127085,127085,7003
12/1/2019,90220,Los Angeles County,93300,window,40,71566,71566,6698
12/1/2019,94941,Marin County,93622,drywall work,75,246206,246206,7215
12/1/2019,94941,Marin County,93748,landscape,75,246206,246206,7215
12/1/2019,95603,Placer County,93890,electrical work,60,98616,98616,6790
12/1/2019,94941,Marin County,93952,doors & casings,75,246206,246206,7215
